packet_count,byte_count,duration_s,packets_per_sec,bytes_per_sec,mean_inter_arrival,std_inter_arrival,syn_count,synack_count,rst_count,ssh_auth_attempts,protocol
9,1566,234.92919492721558,0.03830941489748998,6.665838192163257,29.366149365901947,15.347262416640755,0,0,0,0,58
28,2744,259.973375082016,0.10770333689427466,10.554927015638917,9.628643521556148,9.983074027949673,0,0,0,0,6
14,1596,259.9674458503723,0.05385289667406235,6.139230220843109,19.997495834644024,0.005660061399570728,0,0,0,0,6
4,327,0.05655789375305176,70.7239915521813,5781.686309390821,0.018852631251017254,0.026377424272974074,0,0,0,0,6
4,264,0.021496295928955078,186.07856968567688,12281.185599254675,0.007165431976318359,0.0006446557102331076,0,0,0,0,6
70,8180,248.29315567016602,0.2819248070332973,32.94492745046246,3.598451531451681,5.538210647998831,0,0,0,0,6
66,8020,248.29322385787964,0.2658147450603714,32.3005190209724,3.8198957516596868,5.627101237874437,0,0,0,0,6
1,120,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,424,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
6,492,2.092471122741699,2.8674230840224872,235.12869288984396,0.41849422454833984,0.6969105053958574,1,0,0,0,6
5,417,2.081342935562134,2.4022951309797436,200.3514139237106,0.5203357338905334,0.5552407599376459,1,1,0,0,6
1,120,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,604,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
14,1740,41.32909107208252,0.3387444445749471,42.101095254314856,3.179160851698655,7.04274565464911,1,0,0,0,6
7,713,41.051398277282715,0.17051794320666794,17.368470500907748,6.841899712880452,9.06426253479898,4,4,0,0,6
18,828,255.35426902770996,0.0704903037984719,3.2425539747297076,15.020839354571175,0.04626027506464228,0,0,0,0,2
168,165206,251.4986674785614,0.6679955869520497,656.8861841547638,1.5059800447818048,7.5385115352171415,0,0,0,0,6
110,30358,251.4743847846985,0.43742029668022553,120.72004878743897,2.307104447566041,9.233662104649675,0,0,0,0,6
2,172,134.21543216705322,0.014901416086867495,1.2815217834706045,134.21543216705322,0.0,0,0,0,0,58
2,156,134.21551132202148,0.014901407298605202,1.1623097692912057,134.21551132202148,0.0,0,0,0,0,58
3,258,200.77104377746582,0.014942393801195721,1.285045866902832,100.38552188873291,50.94984745979309,0,0,0,0,58
3,234,200.77104783058167,0.0149423934995424,1.1655066929643072,100.38552391529083,50.94985735416412,0,0,0,0,58
1,110,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,102,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
6,660,0.034317970275878906,174.83551479783242,19231.906627761568,0.006863594055175781,0.006083593832569502,0,0,0,0,17
5,790,0.025909900665283203,192.97642490384084,30490.275134806852,0.006477475166320801,0.006733350575198939,0,0,0,0,58
