packet_count,byte_count,duration_s,packets_per_sec,bytes_per_sec,mean_inter_arrival,std_inter_arrival,syn_count,synack_count,rst_count,ssh_auth_attempts,protocol
2,140,65.53598999977112,0.030517582781720166,2.1362307947204116,65.53598999977112,0.0,0,0,0,0,58
2,140,69.63301992416382,0.02872200576936297,2.010540403855408,69.63301992416382,0.0,0,0,0,0,58
3,222,2.0522990226745605,1.4617752904693164,108.17137149472941,1.0261495113372803,0.002160310745239258,3,0,0,0,6
1,70,0.0,0.0,0.0,0.0,0.0,0,0,0,0,58
2,148,1.034769058227539,1.932798419220043,143.02708302228316,1.034769058227539,0.0,2,0,0,0,6
2,148,1.011695146560669,1.9768800975265575,146.28912721696526,1.011695146560669,0.0,2,0,0,0,6
1,107,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
2,148,1.043199062347412,1.9171796373163807,141.87129316141218,1.043199062347412,0.0,2,0,0,0,6
2,148,1.0203990936279297,1.9600174211143158,145.04128916245938,1.0203990936279297,0.0,2,0,0,0,6
2,148,1.0084550380706787,1.983231700469553,146.75914583474693,1.0084550380706787,0.0,2,0,0,0,6
