packet_count,byte_count,duration_s,packets_per_sec,bytes_per_sec,mean_inter_arrival,std_inter_arrival,syn_count,synack_count,rst_count,ssh_auth_attempts,protocol
20,1960,22.938206911087036,0.8719077335697555,85.44695788983604,1.2072740479519493,0.7860617118616153,0,0,0,0,1
20,1960,22.93722701072693,0.871944982305259,85.45060826591538,1.2072224742487858,0.7860474529490988,0,0,0,0,1
1,70,0.0,0.0,0.0,0.0,0.0,0,0,0,0,58
1,107,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,70,0.0,0.0,0.0,0.0,0.0,0,0,0,0,58
1,70,0.0,0.0,0.0,0.0,0.0,0,0,0,0,58
6,480,0.003412961959838867,1758.003772266853,140640.30178134824,0.0006825923919677734,0.0007871096099474608,1,0,0,0,6
6,838,0.0024819374084472656,2417.4662824207494,337639.4574447647,0.0004963874816894531,0.0007623719846813606,1,1,0,0,6
6,480,0.002262115478515625,2652.3844856661044,212190.75885328837,0.000452423095703125,0.0005269890843363936,1,0,0,0,6
6,838,0.0017659664154052734,3397.573106520859,474527.71054407995,0.0003531932830810547,0.000518224434151235,1,1,0,0,6
6,480,0.0017788410186767578,3372.982710092481,269838.61680739844,0.0003557682037353516,0.0005299274231517731,1,0,0,0,6
6,838,0.001725912094116211,3476.4227103191047,485540.3718745683,0.0003451824188232422,0.000521432920502934,1,1,0,0,6
6,480,0.0025479793548583984,2354.8071488724618,188384.57190979694,0.0005095958709716797,0.0007575617236806979,1,0,0,0,6
6,838,0.0024878978729248047,2411.674556780067,336830.5464302827,0.0004975795745849609,0.0007253974974335407,1,1,0,0,6
6,480,0.0020639896392822266,2906.991336490701,232559.30691925608,0.00041279792785644533,0.00044687581349226976,1,0,0,0,6
6,838,0.0014719963073730469,4076.0971817298346,569294.9063816003,0.00029439926147460936,0.0004207938491502363,1,1,0,0,6
6,480,0.0018889904022216797,3176.299886406664,254103.99091253313,0.0003777980804443359,0.0005228323982819317,1,0,0,0,6
6,838,0.0018711090087890625,3206.6544342507646,447862.73598369013,0.0003742218017578125,0.0005001886009577158,1,1,0,0,6
6,480,0.00344085693359375,1743.7516629711752,139500.133037694,0.00068817138671875,0.0005630063113857158,1,0,0,0,6
6,838,0.0026769638061523438,2241.3452084075525,313041.21410758817,0.0005353927612304687,0.0005611917887237041,1,1,0,0,6
6,480,0.0018589496612548828,3227.629088110812,258210.32704886494,0.0003717899322509766,0.0005461767952816569,1,0,0,0,6
6,838,0.0018279552459716797,3282.3560714751534,458435.73131602973,0.00036559104919433596,0.0005197723104919617,1,1,0,0,6
7,546,0.0021190643310546875,3303.3447344734473,257660.88928892888,0.00035317738850911457,0.0004930757467598655,1,0,0,0,6
5,772,0.002032041549682617,2460.579608119207,379913.49149360554,0.0005080103874206543,0.0005215634443202887,1,1,0,0,6
6,480,0.003041982650756836,1972.3978368210676,157791.8269456854,0.0006083965301513672,0.0007729323153157764,1,0,0,0,6
6,838,0.0029540061950683594,2031.1399515738499,283682.5465698144,0.0005908012390136719,0.0007384166657201501,1,1,0,0,6
6,480,0.0026280879974365234,2283.0285766125376,182642.28612900298,0.0005256175994873047,0.0007870868551963084,1,0,0,0,6
6,838,0.002508878707885742,2391.506604580443,334013.7557730685,0.0005017757415771484,0.0007701255596163557,1,1,0,0,6
